EmployeeID,Age,BusinessTravel,Department,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Avg_Working_Time,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
854,53,Travel_Rarely,Research & Development,Male,Junior Level,Manager,Married,25590,0.0,25,34.0,2,33,1,9,inf,High,Very High,Better
855,38,Travel_Rarely,Research & Development,Female,Mid Level,Sales Executive,Married,49080,4.0,19,7.0,3,5,1,4,1.75,High,Medium,Better
856,32,Non-Travel,Research & Development,Female,Executive,Research Scientist,Married,23800,4.0,13,9.0,5,6,1,2,2.25,Very High,Low,Good
857,48,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,47650,8.0,12,10.0,4,8,7,6,1.25,High,Low,Good
858,34,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Single,20440,1.0,11,1.0,2,1,0,0,1.0,Low,Very High,Bad
859,55,Travel_Rarely,Research & Development,Female,Entry Level,Laboratory Technician,Married,26930,1.0,18,36.0,6,36,2,13,36.0,High,Very High,Better
860,34,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Married,65860,9.0,18,9.0,3,2,2,1,1.0,Medium,,Good
861,26,Travel_Rarely,Research & Development,Male,Entry Level,Research Director,Married,32940,1.0,11,1.0,6,1,0,0,1.0,Low,Very High,Better
862,38,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Married,41710,0.0,23,10.0,4,9,7,7,inf,High,Medium,
863,38,Travel_Rarely,Research & Development,Female,Entry Level,Manufacturing Director,Single,27780,2.0,13,8.0,5,3,1,2,4.0,Medium,Medium,Best
864,36,Travel_Rarely,Human Resources,Male,Entry Level,Research Scientist,Single,23770,6.0,13,15.0,3,1,0,0,2.5,Medium,High,Better
865,29,Travel_Rarely,Research & Development,Male,Entry Level,Sales Representative,Single,24040,1.0,17,10.0,3,10,1,5,10.0,Medium,Low,Better
866,35,Travel_Rarely,Sales,Female,Junior Level,Sales Executive,Single,23180,3.0,19,10.0,4,5,0,4,3.3333333333333335,Low,High,Better
867,39,Travel_Rarely,Sales,Female,Entry Level,Sales Executive,Married,20080,2.0,12,11.0,3,7,7,6,5.5,Very High,High,Better
868,29,Travel_Frequently,Research & Development,Female,Entry Level,Research Scientist,Divorced,62440,1.0,22,6.0,3,6,1,3,6.0,Low,Very High,Best
869,50,Travel_Rarely,Research & Development,Female,Entry Level,Laboratory Technician,Married,27990,4.0,12,27.0,0,1,0,0,6.75,High,High,Better
870,23,Travel_Rarely,Research & Development,Female,Mid Level,Manager,Married,105520,2.0,11,4.0,2,2,2,2,2.0,Very High,High,Better
871,36,Travel_Frequently,Sales,Male,Junior Level,Human Resources,Married,23290,3.0,15,9.0,2,3,0,2,3.0,Low,Low,Better
872,42,Travel_Rarely,Research & Development,Female,Executive,Manager,Single,40140,8.0,13,24.0,3,1,0,1,3.0,Very High,Very High,Better
873,35,Travel_Rarely,Sales,Female,Junior Level,Laboratory Technician,Married,74030,1.0,12,10.0,4,10,6,8,10.0,Medium,High,Good
874,34,Travel_Frequently,Research & Development,Female,Entry Level,Manager,Married,22590,1.0,14,8.0,2,8,7,7,8.0,Very High,High,Good
875,40,Travel_Rarely,Research & Development,Male,Junior Level,Laboratory Technician,Married,69320,1.0,13,5.0,5,5,1,2,5.0,Very High,Low,Better
876,43,Travel_Rarely,Research & Development,Male,Entry Level,Manager,Divorced,46780,5.0,25,8.0,0,6,0,2,1.6,Very High,Medium,Better
877,35,Travel_Rarely,Sales,Female,Mid Level,Sales Representative,Married,135820,1.0,17,1.0,3,1,0,1,1.0,High,Very High,Good
878,46,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Single,23320,1.0,11,27.0,2,26,0,12,27.0,Very High,Low,Bad
879,28,Travel_Rarely,Human Resources,Female,Junior Level,Laboratory Technician,Married,24130,1.0,16,1.0,2,1,0,0,1.0,High,Medium,Better
880,22,Non-Travel,Sales,Male,Mid Level,Sales Executive,Married,97050,1.0,18,4.0,3,4,1,3,4.0,Medium,High,Good
881,50,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Married,42940,2.0,20,32.0,2,30,12,13,16.0,Medium,High,Better
882,32,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Married,47210,3.0,14,6.0,3,3,0,2,2.0,Medium,Very High,Better
883,44,Travel_Rarely,Research & Development,Male,Mid Level,Manager,Divorced,25190,0.0,21,23.0,2,22,1,10,inf,Medium,Very High,Good
884,30,Travel_Rarely,Research & Development,Female,Entry Level,Research Director,Married,21210,1.0,13,6.0,2,6,1,1,6.0,Medium,Medium,Good
885,45,Travel_Rarely,Sales,Female,Junior Level,Research Scientist,Single,29730,1.0,12,10.0,2,10,1,4,10.0,High,Low,Better
886,45,Non-Travel,Sales,Male,Junior Level,Manufacturing Director,Married,58550,1.0,14,10.0,3,10,4,5,10.0,Low,Low,Better
887,31,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Single,36170,7.0,21,10.0,5,5,0,3,1.4285714285714286,Very High,Low,Better
888,36,Travel_Rarely,Research & Development,Male,Junior Level,Manufacturing Director,Married,67250,9.0,17,7.0,3,3,1,1,0.7777777777777778,High,High,Better
889,34,Travel_Frequently,Sales,Male,Executive,Manufacturing Director,Divorced,103250,1.0,11,9.0,3,9,7,2,9.0,High,Very High,Better
890,49,Travel_Rarely,Research & Development,Male,Mid Level,Healthcare Representative,Married,69490,1.0,14,10.0,2,9,1,4,10.0,High,Low,Good
891,39,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Married,106090,2.0,17,10.0,2,7,7,7,5.0,Medium,Low,Better
892,27,Travel_Rarely,Research & Development,Male,Senior Level,Research Scientist,Divorced,44470,1.0,13,7.0,4,7,0,7,7.0,Very High,Low,Better
893,35,Travel_Rarely,Research & Development,Female,Junior Level,Sales Executive,Married,21570,1.0,25,16.0,1,16,1,10,16.0,Medium,Low,Better
894,28,Travel_Rarely,Research & Development,Male,Mid Level,Manufacturing Director,Divorced,46010,0.0,15,6.0,2,5,0,0,inf,Medium,Low,Good
895,21,Travel_Rarely,Research & Development,Female,Entry Level,Laboratory Technician,Single,170990,1.0,14,3.0,2,2,2,2,3.0,High,Very High,Better
896,18,Travel_Frequently,Research & Development,Male,Entry Level,Research Director,Single,24790,1.0,12,0.0,2,0,0,0,0.0,Medium,Very High,Best
897,47,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Married,148520,3.0,19,27.0,3,5,1,0,9.0,Very High,High,Better
898,39,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Divorced,72640,0.0,17,11.0,5,10,0,7,inf,High,High,Better
899,40,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Married,56660,1.0,14,18.0,2,18,14,12,18.0,Low,High,Better
900,35,Non-Travel,Research & Development,Female,Junior Level,Sales Executive,Married,78230,1.0,13,15.0,3,14,2,9,15.0,High,High,Better
901,37,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Married,78800,3.0,12,9.0,2,4,0,2,3.0,High,High,Good
902,39,Travel_Frequently,Research & Development,Female,Junior Level,Manager,Single,131940,0.0,11,10.0,2,9,3,8,inf,Low,High,Bad
903,45,Travel_Rarely,Research & Development,Female,Junior Level,Laboratory Technician,Divorced,50670,1.0,11,10.0,3,10,3,9,10.0,Very High,Very High,Better
904,38,Travel_Rarely,Research & Development,Female,Mid Level,Sales Executive,Married,50790,3.0,11,10.0,3,5,0,2,3.3333333333333335,Very High,High,Best
905,35,Travel_Rarely,Research & Development,Male,Mid Level,Healthcare Representative,Married,23210,9.0,12,15.0,0,13,6,0,1.6666666666666667,Very High,Low,Better
906,37,Travel_Rarely,Research & Development,Female,Junior Level,Healthcare Representative,Married,174440,1.0,14,8.0,4,8,7,7,8.0,Medium,Medium,Bad
907,40,Travel_Rarely,Research & Development,Female,Junior Level,Healthcare Representative,Single,24040,6.0,17,18.0,2,4,3,3,3.0,High,Very High,Good
908,44,Travel_Frequently,Sales,Male,Entry Level,Laboratory Technician,Married,34520,4.0,11,14.0,2,10,0,2,3.5,Low,Very High,Better
909,48,Travel_Frequently,Sales,Female,Mid Level,Manager,Married,22700,2.0,14,23.0,2,2,2,2,11.5,High,Very High,Better
910,35,Travel_Rarely,Research & Development,Male,Junior Level,Manager,Divorced,173990,6.0,12,7.0,3,2,2,2,1.1666666666666667,,Very High,Good
911,24,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Single,54880,1.0,22,6.0,6,6,1,3,6.0,Low,Very High,Better
912,27,Travel_Rarely,Sales,Male,Mid Level,Sales Executive,Married,194190,7.0,14,5.0,2,3,0,2,0.7142857142857143,Medium,High,Better
913,27,Travel_Frequently,Research & Development,Male,Entry Level,Research Scientist,Single,28110,2.0,20,6.0,3,4,1,2,3.0,Very High,Very High,Good
914,40,Travel_Rarely,Sales,Male,Entry Level,Research Director,Single,36330,3.0,16,10.0,0,4,0,3,3.3333333333333335,Low,Low,Bad
915,29,Travel_Rarely,Research & Development,Female,Junior Level,Manager,Single,41630,9.0,15,8.0,4,5,1,4,0.8888888888888888,High,High,Better
916,36,Travel_Rarely,Research & Development,Female,Mid Level,Sales Executive,Married,21320,4.0,20,9.0,1,3,0,2,2.25,Medium,Low,Better
917,25,Travel_Frequently,Sales,Male,Senior Level,Manufacturing Director,Divorced,139730,1.0,14,7.0,3,7,0,7,7.0,Very High,High,Better
918,39,Travel_Rarely,Sales,Female,Junior Level,Research Director,Married,26840,4.0,12,7.0,2,5,1,0,1.75,Very High,Medium,Better
919,49,Travel_Rarely,Sales,Male,Junior Level,Research Director,Married,108450,3.0,24,27.0,4,4,1,2,9.0,Low,Medium,Better
920,50,Travel_Rarely,Research & Development,Male,Mid Level,Sales Executive,Divorced,43770,5.0,12,19.0,2,14,1,11,3.8,Very High,Low,Better
921,20,Travel_Rarely,Research & Development,Female,Junior Level,Sales Executive,Single,37430,1.0,13,2.0,2,2,2,2,2.0,High,High,Better
922,34,Travel_Rarely,Research & Development,Male,Mid Level,Laboratory Technician,Divorced,41480,1.0,11,11.0,3,11,7,9,11.0,Very High,Medium,Better
923,36,Travel_Rarely,Research & Development,Female,Junior Level,Healthcare Representative,Single,10510,2.0,14,15.0,2,4,1,3,7.5,Low,Medium,Better
924,49,Travel_Rarely,Human Resources,Female,Junior Level,Research Scientist,Married,107390,2.0,11,30.0,3,15,2,12,15.0,High,High,Better
925,36,Non-Travel,Research & Development,Male,Senior Level,Laboratory Technician,Married,103880,0.0,14,4.0,2,3,1,2,inf,Very High,High,Better
926,36,Travel_Rarely,Research & Development,Female,Junior Level,Healthcare Representative,Divorced,114160,6.0,16,13.0,2,5,0,4,2.1666666666666665,Very High,Low,Better
927,54,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Married,26000,3.0,14,36.0,5,10,4,7,12.0,Medium,High,Better
928,43,Travel_Rarely,Research & Development,Female,Entry Level,Research Scientist,Married,24220,1.0,11,14.0,2,14,6,11,14.0,High,High,Better
929,35,Travel_Frequently,Research & Development,Male,Entry Level,Research Director,Single,54720,3.0,11,13.0,3,11,6,7,4.333333333333333,Very High,Very High,Best
930,38,Travel_Frequently,Research & Development,Male,Junior Level,Research Scientist,Married,24510,7.0,12,19.0,3,13,2,9,2.7142857142857144,Very High,Very High,Best
931,29,Travel_Rarely,Research & Development,Male,Junior Level,Sales Representative,Divorced,42400,1.0,14,10.0,2,10,0,9,10.0,Low,Medium,Good
932,33,Travel_Rarely,Research & Development,Male,Executive,Sales Executive,Divorced,109990,1.0,18,6.0,3,6,0,4,6.0,Very High,Very High,Better
933,32,Travel_Rarely,Research & Development,Male,Executive,Research Scientist,Divorced,50030,1.0,13,10.0,5,9,1,6,10.0,Very High,Medium,Good
934,31,Travel_Rarely,Research & Development,Female,Junior Level,Sales Executive,Married,127420,1.0,11,10.0,4,10,0,2,10.0,Low,Very High,Better
935,49,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Divorced,42270,4.0,18,17.0,3,2,2,2,4.25,Very High,Low,Good
936,38,Travel_Frequently,Sales,Female,Entry Level,Sales Executive,Single,39170,1.0,15,4.0,2,4,3,3,4.0,Very High,Medium,Better
937,47,Travel_Rarely,Research & Development,Male,Mid Level,Laboratory Technician,Divorced,183030,6.0,22,29.0,2,3,1,2,4.833333333333333,Medium,Medium,Better
938,49,Travel_Rarely,Research & Development,Male,Junior Level,Manufacturing Director,Single,23800,4.0,13,23.0,3,8,0,0,5.75,High,High,Better
939,41,Travel_Rarely,Research & Development,Female,Senior Level,Manager,Single,137260,3.0,12,21.0,6,2,0,2,7.0,Very High,High,Better
940,20,Travel_Rarely,Research & Development,Male,Entry Level,Sales Representative,Single,47770,1.0,18,2.0,3,2,0,2,2.0,Very High,Low,Better
941,33,Non-Travel,Research & Development,Female,Junior Level,Healthcare Representative,Divorced,63850,1.0,13,7.0,6,6,1,2,7.0,High,Very High,Better
942,36,Travel_Rarely,Research & Development,Male,Mid Level,Sales Executive,Married,199730,6.0,12,10.0,2,3,0,2,1.6666666666666667,Low,High,Good
943,44,Travel_Rarely,Research & Development,Female,Mid Level,Healthcare Representative,Divorced,68610,4.0,12,8.0,2,2,2,2,2.0,High,Very High,Better
944,23,Travel_Rarely,Human Resources,Female,Mid Level,Laboratory Technician,Single,49690,1.0,12,5.0,3,5,1,2,5.0,Very High,High,Better
945,38,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,198450,7.0,11,7.0,3,0,0,0,1.0,Very High,High,Good
946,53,Travel_Rarely,Research & Development,Male,Senior Level,Research Director,Married,133200,3.0,11,11.0,2,4,1,2,3.6666666666666665,Medium,Very High,Better
947,48,Travel_Frequently,Sales,Male,Entry Level,Healthcare Representative,Married,63470,2.0,12,19.0,3,9,7,7,9.5,Very High,High,Better
948,32,Travel_Rarely,Sales,Male,Junior Level,Research Scientist,Single,27430,1.0,19,1.0,2,1,0,0,1.0,Very High,Medium,Better
949,26,Non-Travel,Research & Development,Male,Entry Level,Human Resources,Single,108800,1.0,23,7.0,5,7,5,7,7.0,Very High,Very High,Better
950,55,Travel_Rarely,Research & Development,Male,Executive,Laboratory Technician,Divorced,23420,5.0,11,8.0,2,4,1,2,1.6,Low,Medium,Better
951,34,Travel_Rarely,Sales,Female,Junior Level,Research Scientist,Married,176500,1.0,19,15.0,6,15,4,13,15.0,Medium,Very High,Best
952,60,Travel_Rarely,Sales,Male,Entry Level,Manager,Divorced,40250,3.0,13,19.0,5,1,0,0,6.333333333333333,High,Very High,Best
953,33,Travel_Rarely,Sales,Male,Mid Level,Manager,Married,97250,1.0,11,14.0,0,14,2,13,14.0,Medium,Medium,Better
954,37,Travel_Frequently,Research & Development,Male,Entry Level,Laboratory Technician,Divorced,119040,1.0,12,6.0,4,6,1,3,6.0,High,Very High,Good
955,34,Travel_Rarely,Research & Development,Male,Entry Level,Healthcare Representative,Married,21770,1.0,13,10.0,5,10,8,7,10.0,Medium,Very High,Better
956,23,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Divorced,75250,1.0,14,3.0,2,3,0,2,3.0,High,Very High,Better
957,44,Travel_Rarely,Human Resources,Male,Entry Level,Research Scientist,Married,48340,1.0,14,9.0,1,8,6,7,9.0,High,Very High,Better
958,35,Travel_Frequently,Research & Development,Male,Mid Level,Sales Executive,Single,20420,0.0,16,6.0,2,5,1,4,inf,Low,Very High,Best
959,43,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Married,22200,1.0,11,10.0,2,10,8,8,10.0,Very High,Very High,Better
960,24,Travel_Rarely,Research & Development,Male,Mid Level,Sales Executive,Married,10520,1.0,13,5.0,3,5,0,4,5.0,High,High,Better
961,41,Travel_Rarely,Sales,Male,Entry Level,Research Scientist,Single,28210,1.0,17,10.0,3,10,8,7,10.0,Very High,High,Better
962,29,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Married,192370,9.0,11,9.0,2,5,1,2,1.0,Very High,High,Better
963,36,Travel_Rarely,Human Resources,Female,Mid Level,Research Scientist,Single,41070,3.0,11,17.0,2,13,6,7,5.666666666666667,High,Very High,Good
964,45,Non-Travel,Sales,Female,Junior Level,Manufacturing Director,Married,83960,3.0,15,25.0,3,23,14,4,8.333333333333334,High,High,Good
965,24,Travel_Rarely,Sales,Female,Junior Level,Manager,Married,20070,1.0,12,1.0,2,1,0,0,1.0,Very High,High,Better
966,47,Travel_Frequently,Research & Development,Female,Junior Level,Sales Executive,Married,196270,7.0,11,25.0,1,23,14,10,3.5714285714285716,High,High,Bad
967,26,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,106860,1.0,14,3.0,2,3,0,2,3.0,Very High,High,Best
968,45,Travel_Rarely,Research & Development,Male,Entry Level,Research Director,Single,29420,1.0,22,21.0,4,21,8,6,21.0,Very High,Medium,Better
969,32,Travel_Frequently,Sales,Male,Junior Level,Laboratory Technician,Married,88580,6.0,16,10.0,2,5,1,3,1.6666666666666667,Low,High,Good
970,31,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,167560,1.0,11,6.0,5,5,0,3,6.0,Medium,High,Best
971,41,Non-Travel,Sales,Male,Junior Level,Research Scientist,Married,107980,6.0,14,10.0,5,3,1,2,1.6666666666666667,High,Medium,Better
972,40,Travel_Rarely,Research & Development,Male,Entry Level,Healthcare Representative,Married,23230,2.0,16,18.0,2,1,0,0,9.0,Medium,Low,Better
973,24,Travel_Rarely,Research & Development,Female,Entry Level,Research Scientist,Divorced,14160,1.0,15,6.0,3,6,1,2,6.0,Medium,Low,Best
974,46,Travel_Rarely,Research & Development,Male,Senior Level,Sales Executive,Single,46150,6.0,12,19.0,3,10,0,9,3.1666666666666665,High,Medium,Better
975,35,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Married,24610,2.0,20,17.0,4,7,0,7,8.5,Very High,High,Better
976,30,Travel_Rarely,Sales,Male,Entry Level,Laboratory Technician,Married,87220,1.0,17,10.0,3,10,0,8,10.0,Medium,Very High,Good
977,47,Non-Travel,Research & Development,Female,Junior Level,Sales Executive,Married,39550,7.0,12,4.0,5,1,0,0,0.5714285714285714,High,Medium,Bad
978,46,Travel_Rarely,Research & Development,Female,Mid Level,Sales Executive,Divorced,99570,4.0,20,13.0,1,10,0,3,3.25,High,Very High,Good
979,36,Travel_Rarely,Research & Development,Male,Junior Level,Manufacturing Director,Divorced,33760,5.0,20,16.0,3,2,2,2,3.2,Medium,Low,Better
980,32,Travel_Rarely,Research & Development,Female,Junior Level,Research Director,Single,88230,6.0,13,10.0,3,0,0,0,1.6666666666666667,Low,Medium,Better
981,23,Travel_Rarely,Sales,Male,Mid Level,Manufacturing Director,Single,103220,1.0,14,3.0,2,3,1,2,3.0,High,Medium,Bad
982,31,Travel_Frequently,Sales,Male,Junior Level,Sales Executive,Single,46210,2.0,18,9.0,3,5,1,4,4.5,Very High,Very High,Good
983,39,Non-Travel,Research & Development,Female,Junior Level,Manufacturing Director,Married,109760,1.0,11,9.0,3,9,5,8,9.0,Very High,Very High,Better
984,32,Travel_Rarely,Research & Development,Male,Entry Level,Research Scientist,Married,36600,3.0,11,10.0,0,4,0,2,3.3333333333333335,Very High,High,Bad
985,40,Travel_Rarely,Sales,Male,Mid Level,Manufacturing Director,Single,104820,1.0,11,21.0,6,21,12,8,21.0,Medium,Medium,Good
986,45,Travel_Rarely,Research & Development,Male,Entry Level,Sales Representative,Married,71190,4.0,15,9.0,2,5,0,3,2.25,High,High,Best
987,30,Travel_Frequently,Sales,Male,Entry Level,Research Director,Single,95820,0.0,12,10.0,2,9,0,7,inf,Very High,Low,Better
988,24,Travel_Frequently,Sales,Male,Entry Level,Sales Executive,Married,45080,0.0,11,3.0,5,2,2,1,inf,Low,Very High,
989,30,Travel_Frequently,Research & Development,Female,Entry Level,Human Resources,Divorced,22070,6.0,14,6.0,4,4,1,2,1.0,High,Very High,Good
990,31,Travel_Rarely,Research & Development,Male,Mid Level,Laboratory Technician,Married,77560,1.0,15,6.0,3,5,0,2,6.0,Low,High,Better
991,27,Travel_Rarely,Sales,Male,Entry Level,Manager,Single,66940,1.0,13,6.0,2,6,1,4,6.0,High,Very High,Good
992,29,Travel_Rarely,Sales,Male,Executive,Research Scientist,Single,36910,1.0,13,2.0,3,2,2,2,2.0,Medium,Medium,Better
993,29,Travel_Frequently,Research & Development,Female,Entry Level,Sales Executive,Single,23770,8.0,21,10.0,2,3,0,2,1.25,Very High,High,Best
994,30,Travel_Rarely,Sales,Male,Mid Level,Sales Executive,Divorced,23130,2.0,11,12.0,5,7,1,7,6.0,High,Low,Better
995,34,Travel_Rarely,Research & Development,Female,Junior Level,Healthcare Representative,Married,176650,0.0,11,6.0,5,5,1,2,inf,Very High,Very High,Better
996,33,Non-Travel,Research & Development,Male,Entry Level,Sales Representative,Single,25960,8.0,14,13.0,4,11,1,7,1.625,Very High,Medium,Good
997,49,Travel_Rarely,Sales,Male,Entry Level,Sales Executive,Single,47280,3.0,11,8.0,4,5,0,4,2.6666666666666665,Very High,Very High,Best
998,33,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Single,43020,2.0,13,11.0,3,0,0,0,5.5,Low,Low,Good
999,38,Travel_Frequently,Research & Development,Male,Entry Level,Healthcare Representative,Married,29790,4.0,12,9.0,3,6,0,5,2.25,High,Medium,Good
1000,31,Travel_Rarely,Human Resources,Male,Junior Level,Laboratory Technician,Married,168850,2.0,14,10.0,2,1,0,0,5.0,Low,High,Better
1001,29,Travel_Rarely,Research & Development,Female,Junior Level,Sales Representative,Divorced,55930,1.0,13,1.0,3,1,0,0,1.0,Very High,Low,Better
1002,30,Travel_Rarely,Research & Development,Male,Entry Level,Sales Representative,Married,104450,3.0,18,10.0,3,7,1,7,3.3333333333333335,High,High,Better
1003,32,Non-Travel,Research & Development,Female,Entry Level,Laboratory Technician,Single,87400,2.0,11,12.0,2,7,0,7,6.0,Medium,Medium,Better
1004,38,Travel_Rarely,Research & Development,Female,Entry Level,Manufacturing Director,Married,25140,3.0,11,15.0,2,1,1,0,5.0,Medium,Very High,Better
1005,43,Travel_Frequently,Research & Development,Male,Mid Level,Sales Executive,Married,76550,9.0,12,6.0,3,1,0,0,0.6666666666666666,High,High,Better
1006,42,Travel_Rarely,Human Resources,Female,Entry Level,Healthcare Representative,Divorced,174650,8.0,13,7.0,3,5,0,4,0.875,Medium,Medium,Good
1007,55,Travel_Rarely,Research & Development,Female,Entry Level,Sales Executive,Married,73510,8.0,20,34.0,3,1,0,0,4.25,High,Low,Better
1008,33,Non-Travel,Research & Development,Male,Entry Level,Research Scientist,Divorced,108200,5.0,12,11.0,2,9,1,7,2.2,Very High,Medium,Good
1009,41,Travel_Rarely,Research & Development,Male,Entry Level,Sales Representative,Divorced,121690,1.0,19,5.0,2,5,0,4,5.0,High,Low,Better
1010,34,Non-Travel,Research & Development,Female,Entry Level,Research Scientist,Divorced,196260,1.0,21,15.0,5,15,0,7,15.0,Very High,High,Better
1011,53,Non-Travel,Research & Development,Male,Junior Level,Healthcare Representative,Married,20700,4.0,13,27.0,2,3,0,2,6.75,Low,High,Good
1012,43,Travel_Rarely,Sales,Female,Entry Level,Laboratory Technician,Single,67820,0.0,16,10.0,2,9,1,8,inf,Medium,Very High,Better
1013,34,Travel_Rarely,Sales,Female,Executive,Sales Executive,Single,77790,5.0,12,6.0,2,2,2,2,1.2,Very High,Very High,Better
1014,21,Travel_Rarely,Sales,Male,Executive,Healthcare Representative,Single,27910,1.0,14,1.0,3,1,1,0,1.0,Medium,Medium,Better
1015,38,Travel_Rarely,Research & Development,Female,Junior Level,Sales Executive,Married,32010,1.0,11,5.0,3,5,0,4,5.0,Very High,High,Better
1016,22,Travel_Rarely,Research & Development,Male,Senior Level,Research Scientist,Married,49680,1.0,14,1.0,3,1,0,0,1.0,High,Low,Better
1017,31,Travel_Rarely,Research & Development,Male,Executive,Sales Executive,Married,131200,1.0,12,13.0,6,12,5,7,13.0,Low,Very High,Better
1018,51,Travel_Rarely,Research & Development,Female,Entry Level,Manager,Married,40330,2.0,14,15.0,2,2,2,2,7.5,Low,High,Better
1019,37,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Married,32910,1.0,16,5.0,2,5,0,3,5.0,Medium,Medium,Better
1020,46,Travel_Rarely,Sales,Female,Entry Level,Sales Representative,Divorced,42720,7.0,13,24.0,3,2,2,2,3.4285714285714284,High,Very High,Better
1021,36,Travel_Rarely,Research & Development,Female,Senior Level,Research Scientist,Married,50560,7.0,12,15.0,2,12,5,7,2.142857142857143,Very High,Low,Better
1022,44,Travel_Frequently,Sales,Male,Entry Level,Research Scientist,Divorced,28440,1.0,12,6.0,2,5,2,3,6.0,High,Medium,Good
1023,37,Travel_Rarely,Research & Development,Male,Junior Level,Sales Executive,Divorced,27030,2.0,14,19.0,2,10,4,7,9.5,High,Medium,Good
1024,35,Travel_Rarely,Research & Development,Male,Junior Level,Research Scientist,Single,19040,1.0,22,10.0,4,10,7,7,10.0,High,Very High,Better
1025,33,Travel_Rarely,Research & Development,Male,Junior Level,Laboratory Technician,Married,82240,6.0,19,14.0,3,10,7,6,2.3333333333333335,Very High,Low,Better
1026,28,Travel_Rarely,Sales,Female,Junior Level,Sales Executive,Married,47660,1.0,12,5.0,3,5,0,3,5.0,High,Very High,Best
1027,39,Travel_Rarely,Sales,Female,Junior Level,Laboratory Technician,Single,26100,7.0,12,9.0,2,4,2,2,1.2857142857142858,High,High,Better
1028,46,Non-Travel,Research & Development,Male,Junior Level,Manufacturing Director,Single,57310,8.0,17,6.0,2,2,2,2,0.75,Medium,Medium,Better
1029,40,Travel_Rarely,Research & Development,Male,Entry Level,Research Director,Married,25390,4.0,12,7.0,3,4,0,2,1.75,High,Low,Good
1030,42,Travel_Rarely,Research & Development,Female,Junior Level,Laboratory Technician,Married,57140,5.0,11,10.0,2,0,0,0,2.0,Medium,Low,Good
1031,35,Non-Travel,Sales,Female,Junior Level,Research Director,Divorced,43230,2.0,18,15.0,3,7,1,7,7.5,Medium,Very High,Better
1032,38,Non-Travel,Sales,Male,Mid Level,Sales Executive,Divorced,73360,5.0,11,13.0,3,11,3,8,2.6,Low,Medium,Better
1033,34,Travel_Frequently,Research & Development,Male,Entry Level,Manufacturing Director,Married,134990,4.0,23,11.0,2,7,0,7,2.75,Very High,Low,Good
1034,37,Travel_Rarely,Research & Development,Male,Entry Level,Laboratory Technician,Single,137580,1.0,11,10.0,5,10,0,8,10.0,Very High,Low,Bad
1035,39,Travel_Frequently,Research & Development,Male,Junior Level,Healthcare Representative,Divorced,51550,2.0,18,7.0,3,2,2,2,3.5,High,Very High,Better
1036,43,Non-Travel,Human Resources,Female,Mid Level,Sales Executive,Single,22580,4.0,18,7.0,2,3,1,2,1.75,Low,High,Good
1037,41,Travel_Rarely,Research & Development,Male,Mid Level,Research Scientist,Single,35970,3.0,13,11.0,2,3,1,2,3.6666666666666665,Medium,Medium,Bad
1038,41,Travel_Rarely,Research & Development,Male,Mid Level,Laboratory Technician,Divorced,25150,0.0,18,23.0,2,22,13,5,inf,High,High,Best
1039,30,Travel_Rarely,Sales,Female,Junior Level,Manager,Single,44200,9.0,11,9.0,3,7,0,2,1.0,Low,High,Better
1040,26,Travel_Rarely,Human Resources,Female,Mid Level,Sales Executive,Married,65780,0.0,15,6.0,3,5,1,4,inf,Very High,Medium,Better
1041,46,Travel_Rarely,Research & Development,Male,Entry Level,Sales Executive,Married,44220,4.0,11,13.0,2,9,3,7,3.25,Very High,Medium,Best
